min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.55,0.7,0.2,mid,8,3.0,4.0,True,0.11215628772458952,0.14242588342489593,-0.06053919140061281,79,0.27848101265822783,1.475357261960397
0.25,0.55,0.7,0.25,mid,8,3.0,4.0,True,0.1063674472382109,0.1363984232998834,-0.060061952123344975,79,0.27848101265822783,1.4569054721080628
0.25,0.55,0.7,0.25,mid,8,3.5,4.0,True,0.1063674472382109,0.1363984232998834,-0.060061952123344975,79,0.27848101265822783,1.4569054721080628
0.25,0.55,0.7,0.2,mid,8,3.5,4.5,True,0.10401865672460342,0.13428825242490983,-0.06053919140061281,75,0.28,1.467644437721599
0.25,0.55,0.7,0.2,mid,8,3.0,4.5,True,0.10401865672460342,0.13428825242490983,-0.06053919140061281,75,0.28,1.467644437721599
0.25,0.55,0.75,0.2,edge,6,3.0,4.0,True,0.10113639256239998,0.12462258979993912,-0.04697239447507828,47,0.2765957446808511,1.6798633483314531
0.25,0.55,0.75,0.2,edge,6,3.5,4.0,True,0.10113639256239998,0.12462258979993912,-0.04697239447507828,47,0.2765957446808511,1.6798633483314531
0.25,0.55,0.7,0.25,mid,8,3.0,4.5,True,0.09880387833822557,0.12883485439989806,-0.060061952123344975,75,0.28,1.4501666933050064
0.25,0.55,0.7,0.25,mid,8,3.5,4.5,True,0.09880387833822557,0.12883485439989806,-0.060061952123344975,75,0.28,1.4501666933050064
0.3,0.6,0.75,0.2,edge,8,3.5,4.5,True,0.09853409995243739,0.11848791499996025,-0.03990763009504572,30,0.3,1.9947773400768347
0.3,0.6,0.75,0.2,edge,8,3.0,4.5,True,0.09853409995243739,0.11848791499996025,-0.03990763009504572,30,0.3,1.9947773400768347
0.3,0.6,0.75,0.2,edge,6,3.0,4.5,True,0.09766246355832148,0.11431469644996728,-0.033304465783291604,25,0.32,2.139828600870766
0.3,0.6,0.75,0.2,edge,6,3.5,4.5,True,0.09766246355832148,0.11431469644996728,-0.033304465783291604,25,0.32,2.139828600870766
0.25,0.55,0.75,0.25,edge,6,3.5,4.0,True,0.09662830653411086,0.12005249034993093,-0.04684836763164013,47,0.2765957446808511,1.6570510177173627
0.25,0.55,0.75,0.25,edge,6,3.0,4.0,True,0.09662830653411086,0.12005249034993093,-0.04684836763164013,47,0.2765957446808511,1.6570510177173627
0.3,0.6,0.75,0.25,edge,8,3.0,4.5,True,0.09587731282892775,0.11536956479995486,-0.038984503942054216,30,0.3,1.9719072629356964
0.3,0.6,0.75,0.25,edge,8,3.5,4.5,True,0.09587731282892775,0.11536956479995486,-0.038984503942054216,30,0.3,1.9719072629356964
0.3,0.6,0.75,0.25,edge,6,3.5,4.5,True,0.09508041903353176,0.11145863269996314,-0.03275642733286277,25,0.32,2.1147983181622787
0.3,0.6,0.75,0.25,edge,6,3.0,4.5,True,0.09508041903353176,0.11145863269996314,-0.03275642733286277,25,0.32,2.1147983181622787
0.25,0.55,0.75,0.2,edge,8,3.5,4.0,True,0.09316172793767813,0.11774126209991187,-0.04915906832446748,58,0.25862068965517243,1.5100057534039495
0.25,0.55,0.75,0.2,edge,8,3.0,4.0,True,0.09316172793767813,0.11774126209991187,-0.04915906832446748,58,0.25862068965517243,1.5100057534039495
0.3,0.6,0.75,0.2,edge,8,3.0,4.0,True,0.09029472528118399,0.1125895847499363,-0.04458971893750463,35,0.2857142857142857,1.7840564764272262
0.3,0.6,0.75,0.2,edge,8,3.5,4.0,True,0.09029472528118399,0.1125895847499363,-0.04458971893750463,35,0.2857142857142857,1.7840564764272262
0.25,0.55,0.75,0.25,edge,8,3.0,4.0,True,0.08777403467468636,0.11248216184990234,-0.049416254350431954,58,0.25862068965517243,1.4890841810158404
0.25,0.55,0.75,0.25,edge,8,3.5,4.0,True,0.08777403467468636,0.11248216184990234,-0.049416254350431954,58,0.25862068965517243,1.4890841810158404
0.3,0.6,0.75,0.25,edge,8,3.5,4.0,True,0.08701994488987674,0.10904476099992921,-0.04404963222010494,35,0.2857142857142857,1.7624110497363876
0.3,0.6,0.75,0.25,edge,8,3.0,4.0,True,0.08701994488987674,0.10904476099992921,-0.04404963222010494,35,0.2857142857142857,1.7624110497363876
0.25,0.55,0.75,0.2,edge,6,3.5,4.5,True,0.08411170794058981,0.11254649529994798,-0.05686957471871634,44,0.2727272727272727,1.6392467858911803
0.25,0.55,0.75,0.2,edge,6,3.0,4.5,True,0.08411170794058981,0.11254649529994798,-0.05686957471871634,44,0.2727272727272727,1.6392467858911803
0.25,0.6,0.75,0.2,mid,8,3.5,4.0,True,0.08402617049221334,0.12327816097489874,-0.07850398096537081,64,0.25,1.4733829449735278
0.25,0.6,0.75,0.2,mid,8,3.0,4.0,True,0.08402617049221334,0.12327816097489874,-0.07850398096537081,64,0.25,1.4733829449735278
0.25,0.6,0.7,0.2,edge,8,3.5,4.5,True,0.08232415203704513,0.10645817549996317,-0.04826804692583608,22,0.36363636363636365,2.5726319460768505
0.25,0.6,0.7,0.2,edge,8,3.0,4.5,True,0.08232415203704513,0.10645817549996317,-0.04826804692583608,22,0.36363636363636365,2.5726319460768505
0.25,0.6,0.75,0.2,mid,8,3.5,4.5,True,0.0813849558809322,0.1149534593999122,-0.06713700703796,60,0.25,1.4629289502510892
0.25,0.6,0.75,0.2,mid,8,3.0,4.5,True,0.0813849558809322,0.1149534593999122,-0.06713700703796,60,0.25,1.4629289502510892
0.25,0.55,0.75,0.2,edge,8,3.0,4.5,True,0.0804929409217377,0.10474900899993744,-0.04851213615639949,51,0.2549019607843137,1.5100718311101724
0.25,0.55,0.75,0.2,edge,8,3.5,4.5,True,0.0804929409217377,0.10474900899993744,-0.04851213615639949,51,0.2549019607843137,1.5100718311101724
0.25,0.55,0.75,0.25,edge,6,3.0,4.5,True,0.08012910439090759,0.10846922304994,-0.05668023731806482,44,0.2727272727272727,1.617894978673951
0.25,0.55,0.75,0.25,edge,6,3.5,4.5,True,0.08012910439090759,0.10846922304994,-0.05668023731806482,44,0.2727272727272727,1.617894978673951
0.3,0.6,0.75,0.2,edge,6,3.5,4.0,True,0.07983138671080925,0.10110581084996095,-0.04254884827830341,27,0.2962962962962963,1.9017880436429133
0.3,0.6,0.75,0.2,edge,6,3.0,4.0,True,0.07983138671080925,0.10110581084996095,-0.04254884827830341,27,0.2962962962962963,1.9017880436429133
