min_gap,fib_lower,fib_upper,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,0.5,0.618,0.3,mid,-0.02419933861820872,0.015210258949819755,-0.07881919513605695,106,0.2641509433962264,1.0365201374331805
0.2,0.5,0.618,0.2,mid,-0.03726441517118817,0.0022361618748494294,-0.0790011540920752,107,0.2523364485981308,1.0051912179368347
0.3,0.5,0.618,0.3,mid,-0.04085470975550354,-0.0014451592001640812,-0.07881910111067891,101,0.25742574257425743,0.9963764710902753
0.4,0.5,0.618,0.3,mid,-0.04804224902931875,-0.011219640025159627,-0.07364521800831825,99,0.25252525252525254,0.9711384173971839
0.3,0.5,0.618,0.2,mid,-0.05540549706042475,-0.015434781575135448,-0.0799414309705786,102,0.24509803921568626,0.9625900866899514
0.4,0.5,0.618,0.2,mid,-0.06278203840028279,-0.025404216900131837,-0.07475564300030191,100,0.24,0.9368298203123706
0.2,0.5,0.618,0.1,mid,-0.10825499330750549,-0.05386033022521397,-0.10878932616458303,107,0.22429906542056074,0.8763967485105238
0.3,0.5,0.618,0.1,mid,-0.12345308139089617,-0.07181598942519529,-0.10327418393140175,102,0.21568627450980393,0.8280493481863443
0.4,0.5,0.618,0.1,mid,-0.1306277474778227,-0.08152841125018984,-0.0981986724552657,100,0.21,0.7998686541564691
0.2,0.5,0.618,0.3,edge,-0.1376868397596967,-0.0838705051001234,-0.10763266931914661,78,0.20512820512820512,0.7387591208815898
0.2,0.5,0.618,0.2,edge,-0.15539530914020666,-0.09628300065009576,-0.1182246169802218,78,0.19230769230769232,0.7034198776791096
0.2,0.5,0.618,0.1,edge,-0.18303632891706484,-0.114196075650149,-0.13768050653383168,79,0.17721518987341772,0.6578946925792747
0.4,0.5,0.618,0.3,edge,-0.19026222944946392,-0.12311708100010221,-0.1342902968987234,70,0.17142857142857143,0.5827288904581329
0.3,0.5,0.618,0.3,edge,-0.19148327110337987,-0.12393465770010093,-0.1350972268065579,70,0.17142857142857143,0.5796790510817825
0.4,0.5,0.618,0.2,edge,-0.21116946284150223,-0.13687345520007654,-0.14859201528285138,70,0.15714285714285714,0.5412741678266598
0.3,0.5,0.618,0.2,edge,-0.21243920360663648,-0.13772369800007556,-0.14943101121312186,70,0.15714285714285714,0.5380973625095632
0.4,0.5,0.618,0.1,edge,-0.24002554156715616,-0.15594357445012386,-0.16816393423406462,71,0.14084507042253522,0.492171227027862
0.3,0.5,0.618,0.1,edge,-0.241342160151109,-0.15682552335012234,-0.1690332736019733,71,0.14084507042253522,0.4889121859998705
