min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,allowed_weekdays,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.6,0.7,0.2,edge,8,3.0,4.5,True,"(2, 4)",0.04103806894483092,0.05238049139999301,-0.022684844910324187,11,0.36363636363636365,2.4644572411647236
0.25,0.6,0.7,0.2,edge,8,3.5,4.5,True,"(2, 4)",0.04103806894483092,0.05238049139999301,-0.022684844910324187,11,0.36363636363636365,2.4644572411647236
0.25,0.6,0.7,0.25,edge,8,3.5,4.5,True,"(2, 4)",0.04006123445193788,0.05118614479999084,-0.022249820696105926,11,0.36363636363636365,2.4362763756126036
0.25,0.6,0.7,0.25,edge,8,3.0,4.5,True,"(2, 4)",0.04006123445193788,0.05118614479999084,-0.022249820696105926,11,0.36363636363636365,2.4362763756126036
0.25,0.6,0.7,0.2,edge,8,3.0,4.0,True,"(2, 4)",0.03195642899006562,0.04617838429999299,-0.02844391061985474,12,0.3333333333333333,2.103681955780362
0.25,0.6,0.7,0.2,edge,8,3.5,4.0,True,"(2, 4)",0.03195642899006562,0.04617838429999299,-0.02844391061985474,12,0.3333333333333333,2.103681955780362
0.25,0.6,0.7,0.25,edge,8,3.5,4.0,True,"(2, 4)",0.031025868662460154,0.045019071799990096,-0.027986406275059883,12,0.3333333333333333,2.0801166573549903
0.25,0.6,0.7,0.25,edge,8,3.0,4.0,True,"(2, 4)",0.031025868662460154,0.045019071799990096,-0.027986406275059883,12,0.3333333333333333,2.0801166573549903
0.25,0.55,0.7,0.2,edge,8,3.5,4.5,True,"(2, 4)",0.01206385012630995,0.037526180049979097,-0.050924659847338294,22,0.2727272727272727,1.4250473204796363
0.25,0.55,0.7,0.2,edge,8,3.0,4.5,True,"(2, 4)",0.01206385012630995,0.037526180049979097,-0.050924659847338294,22,0.2727272727272727,1.4250473204796363
0.25,0.55,0.7,0.25,edge,8,3.0,4.5,True,"(2, 4)",0.010587270865903997,0.035977377399973864,-0.050780213068139735,22,0.2727272727272727,1.4088961289510962
0.25,0.55,0.7,0.25,edge,8,3.5,4.5,True,"(2, 4)",0.010587270865903997,0.035977377399973864,-0.050780213068139735,22,0.2727272727272727,1.4088961289510962
0.25,0.55,0.7,0.2,mid,8,3.0,4.5,True,"(2, 4)",0.0019727023952189615,0.030020599674945636,-0.05609579455945335,42,0.2619047619047619,1.1778916758689377
0.25,0.55,0.7,0.2,mid,8,3.5,4.5,True,"(2, 4)",0.0019727023952189615,0.030020599674945636,-0.05609579455945335,42,0.2619047619047619,1.1778916758689377
0.25,0.55,0.7,0.25,mid,8,3.5,4.5,True,"(2, 4)",-0.0011951159571581549,0.027231828474937547,-0.056853888864191404,42,0.2619047619047619,1.1619375940839087
0.25,0.55,0.7,0.25,mid,8,3.0,4.5,True,"(2, 4)",-0.0011951159571581549,0.027231828474937547,-0.056853888864191404,42,0.2619047619047619,1.1619375940839087
0.25,0.55,0.7,0.2,edge,8,3.0,4.0,True,"(2, 4)",-0.005395018575863386,0.02554650514997614,-0.06188304745167905,24,0.25,1.2551153418127465
0.25,0.55,0.7,0.2,edge,8,3.5,4.0,True,"(2, 4)",-0.005395018575863386,0.02554650514997614,-0.06188304745167905,24,0.25,1.2551153418127465
0.25,0.55,0.7,0.25,edge,8,3.5,4.0,True,"(2, 4)",-0.006791330641339244,0.024058941199970096,-0.06170054368261868,24,0.25,1.2411206212234454
0.25,0.55,0.7,0.25,edge,8,3.0,4.0,True,"(2, 4)",-0.006791330641339244,0.024058941199970096,-0.06170054368261868,24,0.25,1.2411206212234454
0.25,0.6,0.7,0.2,mid,8,3.0,4.5,True,"(2, 4)",-0.029659272554938165,0.0011097255499650238,-0.06153799620980638,23,0.21739130434782608,1.0115283059939013
0.25,0.6,0.7,0.2,mid,8,3.5,4.5,True,"(2, 4)",-0.029659272554938165,0.0011097255499650238,-0.06153799620980638,23,0.21739130434782608,1.0115283059939013
0.25,0.6,0.7,0.25,mid,8,3.5,4.5,True,"(2, 4)",-0.031091901839457536,-0.00039445545004002103,-0.06139489277883503,23,0.21739130434782608,0.99589010081114
0.25,0.6,0.7,0.25,mid,8,3.0,4.5,True,"(2, 4)",-0.031091901839457536,-0.00039445545004002103,-0.06139489277883503,23,0.21739130434782608,0.99589010081114
0.25,0.55,0.7,0.2,mid,8,3.5,4.0,True,"(2, 4)",-0.04406906747933875,-0.00517321622505984,-0.07779170250855783,48,0.22916666666666666,0.974297963022078
0.25,0.55,0.7,0.2,mid,8,3.0,4.0,True,"(2, 4)",-0.04406906747933875,-0.00517321622505984,-0.07779170250855783,48,0.22916666666666666,0.974297963022078
0.25,0.6,0.7,0.2,mid,8,3.0,4.0,True,"(2, 4)",-0.04683498969068234,-0.010584834075037186,-0.0725003112312903,25,0.2,0.9015327807617595
0.25,0.6,0.7,0.2,mid,8,3.5,4.0,True,"(2, 4)",-0.04683498969068234,-0.010584834075037186,-0.0725003112312903,25,0.2,0.9015327807617595
0.25,0.55,0.7,0.25,mid,8,3.0,4.0,True,"(2, 4)",-0.04697507249703592,-0.007747596025070358,-0.07845495294393112,48,0.22916666666666666,0.9613632240073331
0.25,0.55,0.7,0.25,mid,8,3.5,4.0,True,"(2, 4)",-0.04697507249703592,-0.007747596025070358,-0.07845495294393112,48,0.22916666666666666,0.9613632240073331
0.25,0.6,0.7,0.25,mid,8,3.5,4.0,True,"(2, 4)",-0.048180641617674935,-0.012023385350043214,-0.07231451253526344,25,0.2,0.8877984930032621
0.25,0.6,0.7,0.25,mid,8,3.0,4.0,True,"(2, 4)",-0.048180641617674935,-0.012023385350043214,-0.07231451253526344,25,0.2,0.8877984930032621
