min_gap,fib_lower,fib_upper,tp_extension,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.3,0.5,0.618,-2.0,0.2,mid,-0.0782677694711596,-0.03649519610009966,-0.08354514674211988,79,0.1518987341772152,0.8964411514372643
0.2,0.5,0.618,-2.0,0.3,mid,-0.07928066817405227,-0.03696776977513161,-0.08462579679784132,78,0.15384615384615385,0.8945329781890526
0.4,0.5,0.618,-1.0,0.1,edge,-0.08039399903366617,-0.030828727650125898,-0.09913054276708055,64,0.234375,0.8856678307915523
0.4,0.5,0.618,-1.0,0.2,edge,-0.08136598600940292,-0.03630097030007895,-0.09013003141864795,64,0.234375,0.8643959733590966
0.3,0.5,0.618,-2.0,0.1,mid,-0.08378592537175794,-0.03974058900015598,-0.08809067274320392,81,0.14814814814814814,0.8907171371225954
0.4,0.5,0.618,-2.0,0.2,mid,-0.08597849210918518,-0.041720039425101274,-0.08851690536816781,80,0.15,0.882823145609794
0.2,0.5,0.618,-2.0,0.3,edge,-0.08650221497360433,-0.03508011045010895,-0.10284420904699076,63,0.15873015873015872,0.8764695683260046
0.3,0.5,0.618,-1.0,0.1,edge,-0.08915725700483335,-0.037131254600125674,-0.10405200480941534,65,0.23076923076923078,0.8643533144920282
0.4,0.5,0.618,-0.618,0.3,edge,-0.08972751360891512,-0.04379000350760087,-0.0918750202026285,63,0.2857142857142857,0.8210368942326159
0.3,0.5,0.618,-1.0,0.2,edge,-0.09004167748656389,-0.042497488450078946,-0.09508837807296988,65,0.23076923076923078,0.8436442736089784
0.4,0.5,0.618,-2.0,0.1,mid,-0.09150584547959945,-0.04498080842515817,-0.09305007410888255,82,0.14634146341463414,0.8775135106282499
0.3,0.5,0.618,-0.618,0.3,edge,-0.09564555658592439,-0.049708973819701185,-0.0918731655324464,64,0.28125,0.8003205176139451
0.4,0.5,0.618,-2.0,0.3,edge,-0.09805032412932863,-0.046628260950097755,-0.10284412635846174,59,0.15254237288135594,0.8269402175827028
0.2,0.5,0.618,-0.618,0.1,edge,-0.09829850868847823,-0.047355595132836714,-0.10188582711128302,69,0.2753623188405797,0.8242730714399908
0.2,0.5,0.618,-0.618,0.2,edge,-0.09960428825981171,-0.05261613204248816,-0.0939763124346471,69,0.2753623188405797,0.8034417186048899
0.3,0.5,0.618,-2.0,0.3,edge,-0.10320627920166991,-0.05178293000010015,-0.10284669840313954,60,0.15,0.810760661717059
0.4,0.5,0.618,-0.618,0.1,edge,-0.10376477475382734,-0.05538022100352569,-0.0967691075006033,64,0.265625,0.783666065094434
0.4,0.5,0.618,-0.618,0.2,edge,-0.10416884715663371,-0.059762737698380364,-0.0888122189165067,64,0.265625,0.7649440609341317
0.2,0.5,0.618,-2.0,0.2,mid,-0.10718675633718289,-0.0628878117501046,-0.08859788917415656,79,0.13924050632911392,0.8232613250628402
0.3,0.5,0.618,-0.618,0.1,edge,-0.10971675222025884,-0.061332731199726154,-0.09676804204106537,65,0.26153846153846155,0.7642882193891883
0.3,0.5,0.618,-0.618,0.2,edge,-0.11003856603512324,-0.06563277944278012,-0.08881157318468624,65,0.26153846153846155,0.7460571315605191
0.2,0.5,0.618,-2.0,0.1,mid,-0.11365205601960682,-0.06708394020016362,-0.0931362316388864,81,0.13580246913580246,0.8171519305746372
0.2,0.5,0.618,-2.0,0.1,edge,-0.12948691481447133,-0.062376267700135046,-0.13422129422867257,65,0.13846153846153847,0.790010107493984
0.2,0.5,0.618,-2.0,0.2,edge,-0.13032795211026155,-0.06772500195008291,-0.12520590032035728,65,0.13846153846153847,0.7705017412253786
0.4,0.5,0.618,-2.0,0.2,edge,-0.13744837543139587,-0.07965926705007476,-0.11557821676264224,61,0.13114754098360656,0.716317186535261
0.4,0.5,0.618,-2.0,0.1,edge,-0.13755090704863632,-0.0752162356501237,-0.12466934279702524,61,0.13114754098360656,0.733880885482315
0.3,0.5,0.618,-2.0,0.2,edge,-0.14483156358334098,-0.08464573965007538,-0.1203716478665312,62,0.12903225806451613,0.7029544470510439
0.3,0.5,0.618,-2.0,0.1,edge,-0.14494473297330135,-0.0802346306501256,-0.1294202046463515,62,0.12903225806451613,0.7202449777347077
