entry_time,exit_time,side,qty,entry_price,exit_price,sl_price,tp_price,pnl,pnl_pct,r_multiple,tag,exit_reason
2026-03-16 07:25:00+00:00,2026-03-16 07:37:00+00:00,sell,137.6,5005.469999999999,4998.502999999999,5009.253500000001,4998.352999999998,958.659200000076,0.00958659200000076,1.8414166776788778,ICT_FVG_FIBO,take_profit
2026-03-16 07:50:00+00:00,2026-03-16 08:03:00+00:00,sell,213.89000000000001,4997.829999999999,4993.409999999999,5000.34,4993.259999999998,945.3938000000156,0.009453938000000156,1.7609561752980425,ICT_FVG_FIBO,take_profit
2026-03-16 08:23:00+00:00,2026-03-16 08:39:00+00:00,sell,74.3,5000.5867499999995,4987.300249999999,5007.530000000001,4987.150249999999,987.1869500000118,0.009871869500000118,1.9135851366432026,ICT_FVG_FIBO,take_profit
2026-03-16 08:49:00+00:00,2026-03-16 08:53:00+00:00,sell,135.11,4991.6725,4995.780000000002,4995.630000000001,4984.207499999999,-554.9643250002556,-0.005549643250002556,-1.0379027163614643,ICT_FVG_FIBO,stop_loss
2026-03-16 09:49:00+00:00,2026-03-16 10:25:00+00:00,sell,73.29,4979.602499999999,4986.883500000001,4986.7335,4965.790499999998,-533.6244900001296,-0.005336244900001296,-1.021034917963893,ICT_FVG_FIBO,stop_loss
2026-03-16 10:44:00+00:00,2026-03-16 10:46:00+00:00,sell,152.17000000000002,4984.804999999999,4988.450000000002,4988.300000000001,4978.264999999998,-554.6596500003433,-0.005546596500003433,-1.0429184549357575,ICT_FVG_FIBO,stop_loss
2026-03-17 08:39:00+00:00,2026-03-17 08:42:00+00:00,sell,240.66,5021.265,5023.668500000001,5023.5185,5017.208000000002,-578.4263100000841,-0.0057842631000008405,-1.0665631240295357,ICT_FVG_FIBO,stop_loss
2026-03-17 09:51:00+00:00,2026-03-17 10:00:00+00:00,sell,247.34,5013.855,5010.084999999999,5016.040000000001,5009.934999999999,932.471800000108,0.00932471800000108,1.7254004576650697,ICT_FVG_FIBO,take_profit
2026-03-17 10:01:00+00:00,2026-03-17 10:03:00+00:00,sell,340.94,5011.789999999999,5013.580000000001,5013.43,5008.959999999998,-610.2826000006078,-0.006102826000006078,-1.0914634146344102,ICT_FVG_FIBO,sl_and_tp_hit_sl_first
2026-03-17 10:16:00+00:00,2026-03-17 10:40:00+00:00,sell,124.06,5006.75,4998.91,5010.970000000001,4998.759999999999,972.6304000000181,0.00972630400000018,1.857819905212792,ICT_FVG_FIBO,take_profit
2026-03-17 10:46:00+00:00,2026-03-17 11:18:00+00:00,sell,58.49,5000.844999999999,5009.8600000000015,5009.710000000001,4983.564999999998,-527.2873500001256,-0.005272873500001256,-1.0169204737733242,ICT_FVG_FIBO,stop_loss
2026-03-17 11:27:00+00:00,2026-03-17 11:34:00+00:00,buy,331.49,5008.030000000001,5006.2,5006.35,5010.94,-606.6267000002774,-0.006066267000002774,-1.0892857142860237,ICT_FVG_FIBO,stop_loss
2026-03-17 11:34:00+00:00,2026-03-17 11:45:00+00:00,buy,173.54,5005.7425,5011.2874999999985,5002.67,5011.437499999999,962.279299999697,0.009622792999996969,1.8047192839700115,ICT_FVG_FIBO,take_profit
2026-03-17 11:51:00+00:00,2026-03-17 11:53:00+00:00,buy,364.84000000000003,5008.725000000001,5007.03,5007.18,5011.365000000002,-618.4038000005576,-0.006184038000005576,-1.0970873786410684,ICT_FVG_FIBO,stop_loss
2026-03-17 12:35:00+00:00,2026-03-17 12:36:00+00:00,buy,212.53,5023.94675,5021.278499999999,5021.4285,5028.533249999999,-567.083172500133,-0.005670831725001329,-1.0595651742283494,ICT_FVG_FIBO,stop_loss
2026-03-18 07:43:00+00:00,2026-03-18 07:44:00+00:00,sell,365.84000000000003,5006.054999999999,5003.6050000000005,5007.58,5003.455,896.3079999996008,0.008963079999996008,1.6065573770478898,ICT_FVG_FIBO,take_profit
2026-03-18 08:39:00+00:00,2026-03-18 08:45:00+00:00,sell,184.38,4989.267499999999,4984.062499999999,4992.17,4983.9124999999985,959.6978999999866,0.009596978999999867,1.7932816537460932,ICT_FVG_FIBO,take_profit
2026-03-18 09:43:00+00:00,2026-03-18 09:50:00+00:00,sell,248.99,4992.2275,4994.585000000001,4994.435,4988.262500000001,-586.9939250002446,-0.005869939250002446,-1.0679501698756586,ICT_FVG_FIBO,stop_loss
2026-03-18 09:54:00+00:00,2026-03-18 09:57:00+00:00,buy,275.56,4993.39,4991.241499999999,4991.3915,4996.937,-592.0406600003167,-0.005920406600003167,-1.0750562922194147,ICT_FVG_FIBO,stop_loss
2026-03-18 10:39:00+00:00,2026-03-18 11:08:00+00:00,sell,42.18,4975.659999999999,4951.952999999999,4987.8135,4951.802999999998,999.9612600000141,0.009999612600000141,1.950631505327509,ICT_FVG_FIBO,take_profit
2026-03-18 11:14:00+00:00,2026-03-18 11:15:00+00:00,sell,80.03,4963.509999999999,4970.200000000001,4970.05,4950.879999999999,-535.4007000001136,-0.005354007000001136,-1.0229357798165941,ICT_FVG_FIBO,stop_loss
2026-03-19 07:21:00+00:00,2026-03-19 07:24:00+00:00,buy,58.19,4771.6825,4762.6399999999985,4762.789999999999,4789.0175,-526.1830750000804,-0.005261830750000804,-1.016868147315213,ICT_FVG_FIBO,stop_loss
2026-03-19 07:31:00+00:00,2026-03-19 07:39:00+00:00,buy,110.8,4761.837500000001,4770.6725000000015,4757.119999999999,4770.822500000002,978.9180000001048,0.009789180000001048,1.872813990460629,ICT_FVG_FIBO,take_profit
2026-03-19 07:56:00+00:00,2026-03-19 07:59:00+00:00,sell,73.56,4745.9974999999995,4732.405499999999,4753.093500000001,4732.255499999998,999.8275200000407,0.009998275200000408,1.9154453213074878,ICT_FVG_FIBO,take_profit
2026-03-19 08:17:00+00:00,2026-03-19 08:31:00+00:00,sell,57.2,4731.355,4713.615,4740.525000000001,4713.464999999999,1014.7279999999876,0.010147279999999875,1.934569247546116,ICT_FVG_FIBO,take_profit
2026-03-19 08:47:00+00:00,2026-03-19 09:03:00+00:00,sell,43.64,4708.759999999999,4720.998500000001,4720.8485,4685.032999999999,-534.0881400000566,-0.005340881400000566,-1.0124084874054295,ICT_FVG_FIBO,stop_loss
2026-03-19 09:06:00+00:00,2026-03-19 09:08:00+00:00,buy,57.39,4712.2025,4702.869999999999,4703.0199999999995,4730.1175,-535.5921750000773,-0.005355921750000773,-1.0163354206371393,ICT_FVG_FIBO,stop_loss
2026-03-19 09:37:00+00:00,2026-03-19 09:51:00+00:00,buy,43.910000000000004,4714.51925,4702.474999999999,4702.625,4737.857749999999,-528.8630175000364,-0.005288630175000365,-1.0126111356328094,ICT_FVG_FIBO,stop_loss
2026-03-19 09:51:00+00:00,2026-03-19 10:20:00+00:00,buy,35.93,4702.3985,4687.744999999999,4687.8949999999995,4730.9555,-526.5002550000452,-0.005265002550000452,-1.0103423311614808,ICT_FVG_FIBO,stop_loss
2026-03-19 10:26:00+00:00,2026-03-19 10:33:00+00:00,sell,70.13,4687.13675,4694.715000000001,4694.5650000000005,4672.73025,-531.4626725000974,-0.0053146267250009736,-1.0201931814358063,ICT_FVG_FIBO,stop_loss
