entry_time,exit_time,side,qty,entry_price,exit_price,sl_price,tp_price,pnl,pnl_pct,r_multiple,tag,exit_reason,initial_sl_price,initial_risk_per_unit,initial_risk_amount
2025-08-01 10:41:00+00:00,2025-08-01 10:53:00+00:00,buy,274.72,3295.11,3302.753,3295.1600000000003,3302.9030000000002,2099.6849600000082,0.020996849600000082,3.87969543147249,ICT_FVG_FIBO,take_profit,3293.1400000000003,1.9699999999998,541.1983999999451
2025-09-17 12:39:00+00:00,2025-09-17 12:46:00+00:00,sell,245.43,3673.395,3675.775,3675.625,3665.362,-584.1234000000268,-0.005841234000000268,-1.0672645739910718,ICT_FVG_FIBO,stop_loss,3675.625,2.230000000000018,547.3089000000044
2025-09-26 08:14:00+00:00,2025-09-26 10:40:00+00:00,buy,260.96,3749.105,3746.86,3747.01,3757.1099999999997,-585.8551999999714,-0.005858551999999714,-1.0715990453461122,ICT_FVG_FIBO,stop_loss,3747.01,2.0949999999998,546.7111999999478
2025-10-15 10:33:00+00:00,2025-10-15 12:16:00+00:00,sell,116.27,4202.094999999999,4185.268000000001,4202.044999999999,4185.118,1956.4752899998148,0.019564752899998147,3.7476614699322535,ICT_FVG_FIBO,take_profit,4206.585,4.490000000000691,522.0523000000803
2025-10-17 07:27:00+00:00,2025-10-17 13:35:00+00:00,sell,31.810000000000002,4343.257999999999,4262.543500000001,4343.207999999999,4262.3935,2567.5282449999436,0.025675282449999434,4.946196035174322,ICT_FVG_FIBO,take_profit,4359.5765,16.318500000001222,519.0914850000389
2025-10-23 07:45:00+00:00,2025-10-23 08:03:00+00:00,sell,103.58,4102.659999999999,4108.05,4107.9,4076.45,-558.2962000001281,-0.0055829620000012814,-1.0286259541985736,ICT_FVG_FIBO,stop_loss,4107.9,5.240000000000691,542.7592000000716
2025-10-23 11:01:00+00:00,2025-10-23 11:03:00+00:00,sell,98.89,4112.5599999999995,4118.163500000001,4118.0135,4092.0164999999997,-554.1301150001065,-0.005541301150001065,-1.0275052718438675,ICT_FVG_FIBO,stop_loss,4118.0135,5.453500000000531,539.2966150000525
2025-10-29 13:13:00+00:00,2025-10-29 13:33:00+00:00,buy,270.31,4012.045,4011.945,4012.0950000000003,4020.9350000000004,-27.030999999975414,-0.00027030999999975416,-0.04807692307688102,ICT_FVG_FIBO,stop_loss,4009.965,2.0799999999999272,562.2447999999804
2025-11-13 09:08:00+00:00,2025-11-13 09:18:00+00:00,sell,156.25,4233.661999999999,4237.300000000001,4237.150000000001,4218.360000000001,-568.4375000002717,-0.005684375000002717,-1.0430045871561051,ICT_FVG_FIBO,stop_loss,4237.150000000001,3.4880000000011933,545.0000000001864
2025-11-21 07:39:00+00:00,2025-11-21 07:51:00+00:00,buy,182.33,4033.545,4030.4,4030.55,4044.2700000000004,-573.4278499999967,-0.005734278499999967,-1.0500834724541224,ICT_FVG_FIBO,stop_loss,4030.55,2.994999999999891,546.0783499999801
2025-11-21 09:56:00+00:00,2025-11-21 10:10:00+00:00,sell,199.55,4052.5699999999997,4041.7650000000003,4052.5199999999995,4041.6150000000002,2156.1377499998766,0.021561377499998768,3.9506398537473046,ICT_FVG_FIBO,take_profit,4055.305,2.7350000000001273,545.7692500000254
2025-11-27 11:10:00+00:00,2025-11-27 11:36:00+00:00,sell,262.66,4158.679999999999,4160.985000000001,4160.835,4151.512000000001,-605.4313000003154,-0.006054313000003154,-1.0696055684457078,ICT_FVG_FIBO,stop_loss,4160.835,2.155000000000655,566.0323000001721
2025-12-12 15:24:00+00:00,2025-12-12 15:25:00+00:00,buy,239.25,4313.515,4311.0265,4311.1765000000005,4322.166499999999,-595.3736250000923,-0.005953736250000923,-1.0641436818475758,ICT_FVG_FIBO,stop_loss,4311.1765000000005,2.33849999999984,559.4861249999617
2025-12-18 08:09:00+00:00,2025-12-18 12:28:00+00:00,sell,187.38,4329.9315,4317.490000000001,4329.8814999999995,4317.34,2331.2882699998117,0.02331288269999812,4.248420693187317,ICT_FVG_FIBO,take_profit,4332.86,2.9284999999999854,548.7423299999973
2025-12-24 08:24:00+00:00,2025-12-24 08:25:00+00:00,sell,283.13,4487.28,4489.46,4489.3099999999995,4479.330000000001,-617.2234000000824,-0.0061722340000008235,-1.0738916256160418,ICT_FVG_FIBO,stop_loss,4489.3099999999995,2.0299999999997453,574.7538999999279
2025-12-31 09:02:00+00:00,2025-12-31 09:03:00+00:00,sell,140.74,4309.981499999999,4314.0415,4313.8915,4293.1015,-571.4044000001844,-0.005714044000001844,-1.038363171355631,ICT_FVG_FIBO,stop_loss,4313.8915,3.910000000000764,550.2934000001076
2026-01-08 08:21:00+00:00,2026-01-08 08:56:00+00:00,sell,169.79,4430.539999999999,4430.639999999999,4430.489999999999,4417.35,-16.979000000061767,-0.00016979000000061766,-0.030769230769334095,ICT_FVG_FIBO,stop_loss,4433.79,3.2500000000009095,551.8175000001544
2026-01-15 08:12:00+00:00,2026-01-15 08:15:00+00:00,sell,191.47,4601.911499999999,4604.960000000001,4604.81,4591.33,-583.6962950003245,-0.005836962950003246,-1.0517509056410164,ICT_FVG_FIBO,stop_loss,4604.81,2.8985000000011496,554.9757950002202
