min_gap,fib_lower,fib_upper,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,0.618,0.79,0.2,mid,0.06551586767968576,0.12448100729989076,-0.11793027924041,59,0.2542372881355932,1.4872559257094187
0.2,0.618,0.79,0.15,mid,0.06238456966214018,0.12399104714990239,-0.12321295497552442,60,0.25,1.474076019467741
0.4,0.618,0.79,0.2,mid,0.059621155806388104,0.11076083839991369,-0.10227936518705116,52,0.25,1.4858633369789052
0.4,0.618,0.79,0.15,mid,0.05562347741362855,0.10941872867492353,-0.10759050252258995,53,0.24528301886792453,1.4675192286987997
0.3,0.618,0.79,0.2,mid,0.050606352335837046,0.10434028309991228,-0.10746786152815047,53,0.24528301886792453,1.4468914547687068
0.3,0.618,0.79,0.15,mid,0.04660245850560146,0.10298589602492192,-0.11276687503864091,54,0.24074074074074073,1.4299099694303326
0.2,0.618,0.79,0.1,mid,0.024363515480234355,0.0861772013498372,-0.12362737173920568,60,0.23333333333333334,1.3319244297537294
0.4,0.618,0.79,0.1,mid,0.017269228620539256,0.07123910137486655,-0.1079397455086546,53,0.22641509433962265,1.3056941877713666
0.4,0.618,0.79,0.15,edge,0.011765297952487652,0.04978767264993622,-0.07604474939489714,34,0.23529411764705882,1.3184015820966126
0.4,0.618,0.79,0.2,edge,0.009971640754742994,0.04762719934992665,-0.07531111719036732,34,0.23529411764705882,1.3061779909162998
0.3,0.618,0.79,0.1,mid,0.008433557348268284,0.06500064424986363,-0.11313417380319069,54,0.2222222222222222,1.2726910856528577
0.3,0.618,0.79,0.15,edge,0.003098055465380556,0.043769209349935556,-0.08134230776911,35,0.22857142857142856,1.270221550863012
0.3,0.618,0.79,0.2,edge,0.0013415338493336648,0.041639802499925826,-0.08059653730118432,35,0.22857142857142856,1.2584098846272798
0.2,0.618,0.79,0.15,edge,-0.0071670655573503605,0.0413457375999251,-0.09702560631455093,40,0.225,1.2244856517768457
0.2,0.618,0.79,0.2,edge,-0.009320242959110159,0.03880127929991439,-0.0962430445180491,40,0.225,1.2117391951417376
0.4,0.618,0.79,0.1,edge,-0.02723591333939207,0.018013883549885312,-0.09049959377855477,34,0.20588235294117646,1.1134078692593172
0.3,0.618,0.79,0.1,edge,-0.03570660763801475,0.012158800749883403,-0.09573081677579631,35,0.2,1.074007557199754
0.2,0.618,0.79,0.1,edge,-0.0453760529368612,0.010233531349866709,-0.11121916857345582,40,0.2,1.0550570906163463
