min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,allowed_weekdays,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.6,0.7,0.25,edge,8,3.0,4.0,True,"(2, 3, 4)",0.03311183024535008,0.05696463559997067,-0.047705610709241175,17,0.29411764705882354,2.117632707369044
0.25,0.6,0.7,0.2,mid,8,3.0,4.5,True,"(2, 3, 4)",0.03208455084042733,0.054264557349958276,-0.044360013019061895,31,0.25806451612903225,1.4398549875718845
0.25,0.6,0.7,0.2,mid,8,3.5,4.5,True,"(2, 3, 4)",0.03208455084042733,0.054264557349958276,-0.044360013019061895,31,0.25806451612903225,1.4398549875718845
0.25,0.6,0.7,0.25,mid,8,3.5,4.5,True,"(2, 3, 4)",0.029926153980518844,0.051891262949952166,-0.043930217938866645,31,0.25806451612903225,1.421612954240698
0.25,0.6,0.7,0.25,mid,8,3.0,4.5,True,"(2, 3, 4)",0.029926153980518844,0.051891262949952166,-0.043930217938866645,31,0.25806451612903225,1.421612954240698
0.25,0.6,0.7,0.2,mid,8,3.0,4.0,True,"(2, 3, 4)",0.015682730288078095,0.04164959112495348,-0.051933721673750766,34,0.23529411764705882,1.3082124315508434
0.25,0.6,0.7,0.2,mid,8,3.5,4.0,True,"(2, 3, 4)",0.015682730288078095,0.04164959112495348,-0.051933721673750766,34,0.23529411764705882,1.3082124315508434
0.25,0.6,0.7,0.25,mid,8,3.5,4.0,True,"(2, 3, 4)",0.013477411054054977,0.03936397779994638,-0.05177313349178281,34,0.23529411764705882,1.2920675308505152
0.25,0.6,0.7,0.25,mid,8,3.0,4.0,True,"(2, 3, 4)",0.013477411054054977,0.03936397779994638,-0.05177313349178281,34,0.23529411764705882,1.2920675308505152
0.25,0.55,0.7,0.2,edge,8,3.0,4.5,True,"(2, 3, 4)",0.0035920612047241063,0.03261491089997892,-0.05804569939050963,21,0.23809523809523808,1.4342486811036412
0.25,0.55,0.7,0.2,edge,8,3.5,4.5,True,"(2, 3, 4)",0.0035920612047241063,0.03261491089997892,-0.05804569939050963,21,0.23809523809523808,1.4342486811036412
0.25,0.55,0.7,0.25,edge,8,3.5,4.5,True,"(2, 3, 4)",0.002050245476366841,0.030793628249976113,-0.057486765547218543,21,0.23809523809523808,1.4106277985899547
0.25,0.55,0.7,0.25,edge,8,3.0,4.5,True,"(2, 3, 4)",0.002050245476366841,0.030793628249976113,-0.057486765547218543,21,0.23809523809523808,1.4106277985899547
0.25,0.55,0.7,0.2,edge,8,3.0,4.0,True,"(2, 3, 4)",-0.008749373895280965,0.02027347579997385,-0.05804569939050963,24,0.20833333333333334,1.2339049520219647
0.25,0.55,0.7,0.2,edge,8,3.5,4.0,True,"(2, 3, 4)",-0.008749373895280965,0.02027347579997385,-0.05804569939050963,24,0.20833333333333334,1.2339049520219647
0.25,0.55,0.7,0.25,edge,8,3.5,4.0,True,"(2, 3, 4)",-0.010212515723639293,0.01853086704996998,-0.057486765547218543,24,0.20833333333333334,1.2142293211089372
0.25,0.55,0.7,0.25,edge,8,3.0,4.0,True,"(2, 3, 4)",-0.010212515723639293,0.01853086704996998,-0.057486765547218543,24,0.20833333333333334,1.2142293211089372
