min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,allowed_weekdays,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.55,0.7,0.2,mid,8,3.0,4.5,True,"(2, 4)",0.08861988779764884,0.10994515640000246,-0.04265053720470724,44,0.3409090909090909,1.6575367677294288
0.25,0.55,0.7,0.2,mid,8,3.5,4.5,True,"(2, 4)",0.08861988779764884,0.10994515640000246,-0.04265053720470724,44,0.3409090909090909,1.6575367677294288
0.25,0.55,0.7,0.25,mid,8,3.5,4.5,True,"(2, 4)",0.08362451566906631,0.10480817634999173,-0.04236732136185084,44,0.3409090909090909,1.6298677917162947
0.25,0.55,0.7,0.25,mid,8,3.0,4.5,True,"(2, 4)",0.08362451566906631,0.10480817634999173,-0.04236732136185084,44,0.3409090909090909,1.6298677917162947
0.25,0.55,0.7,0.2,edge,8,3.5,4.5,True,"(2, 4)",0.07160335609433599,0.0867671465499964,-0.030327580911320817,20,0.4,2.2146773062075336
0.25,0.55,0.7,0.2,edge,8,3.0,4.5,True,"(2, 4)",0.07160335609433599,0.0867671465499964,-0.030327580911320817,20,0.4,2.2146773062075336
0.25,0.55,0.7,0.25,edge,8,3.0,4.5,True,"(2, 4)",0.06850190639669318,0.08361227469999166,-0.030220736606596965,20,0.4,2.175213690968854
0.25,0.55,0.7,0.25,edge,8,3.5,4.5,True,"(2, 4)",0.06850190639669318,0.08361227469999166,-0.030220736606596965,20,0.4,2.175213690968854
0.25,0.55,0.7,0.2,mid,8,3.0,4.0,True,"(2, 4)",0.06586921091285725,0.09667473577500352,-0.061611049724292544,53,0.3018867924528302,1.4846074589352058
0.25,0.55,0.7,0.2,mid,8,3.5,4.0,True,"(2, 4)",0.06586921091285725,0.09667473577500352,-0.061611049724292544,53,0.3018867924528302,1.4846074589352058
0.25,0.6,0.7,0.2,edge,8,3.0,4.5,True,"(2, 4)",0.061392364299996116,0.07329354609999639,-0.023802363600000542,11,0.45454545454545453,3.115823745039848
0.25,0.6,0.7,0.2,edge,8,3.5,4.5,True,"(2, 4)",0.061392364299996116,0.07329354609999639,-0.023802363600000542,11,0.45454545454545453,3.115823745039848
0.25,0.55,0.7,0.25,mid,8,3.5,4.0,True,"(2, 4)",0.060584917556816165,0.09122205349999035,-0.061274271886348375,53,0.3018867924528302,1.4598501470071725
