min_gap,rr_target,fib_lower,fib_upper,session_start_hour_utc,session_end_hour_utc,risk_pct,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,2.0,0.5,0.79,8,19,0.005,-0.3513373529634798,-0.215149550500637,-0.2723756049256856,481,0.3305613305613306,0.8618456223165
0.2,2.5,0.618,0.79,7,20,0.005,-0.3574909312985702,-0.20969934793807687,-0.2955831667209866,343,0.27988338192419826,0.8314563486143048
0.2,2.0,0.5,0.79,7,19,0.005,-0.3578679579373796,-0.21171720092569246,-0.29230151402337423,519,0.3333333333333333,0.8700108228172282
0.1,2.5,0.5,0.79,8,19,0.0075,-0.35869150300713937,-0.1981176109634376,-0.3211477840874035,442,0.29411764705882354,0.9148481418058209
0.1,3.0,0.618,0.79,7,20,0.005,-0.35995604301854056,-0.2099167041755724,-0.3000786776859363,342,0.24561403508771928,0.8358443541169206
0.2,2.5,0.618,0.79,7,19,0.005,-0.36095632696457514,-0.21209583748804073,-0.2977209789530688,319,0.27586206896551724,0.8174328776950694
0.3,2.5,0.5,0.79,8,19,0.0075,-0.36110988556033724,-0.18876121835086945,-0.3446973344189356,422,0.2938388625592417,0.9151828397751477
0.3,2.5,0.618,0.79,7,20,0.005,-0.3627440855477438,-0.21353153327556884,-0.2984251045443499,334,0.27844311377245506,0.8258289785052865
0.2,2.5,0.5,0.79,7,20,0.0075,-0.36329295345102514,-0.21119772406352944,-0.3041904587749914,501,0.2954091816367265,0.9181430621628514
0.2,3.0,0.618,0.79,8,20,0.005,-0.3667695150309525,-0.21026163390049202,-0.313015762260921,304,0.24013157894736842,0.8187066117136905
0.2,2.5,0.5,0.79,8,20,0.0075,-0.3678861734637365,-0.19403929752599036,-0.34769375187549223,470,0.2957446808510638,0.9240449307685139
0.3,3.0,0.618,0.79,8,20,0.005,-0.3715094516287563,-0.21767537940048498,-0.30766814445654267,298,0.23825503355704697,0.8071245348935486
0.3,2.5,0.618,0.79,7,19,0.005,-0.37274771281144603,-0.2204497579755359,-0.30459590967182026,311,0.2733118971061093,0.8075059461029941
0.1,3.0,0.5,0.79,8,20,0.005,-0.3778634331746551,-0.2199418971756073,-0.3158430719980956,448,0.24553571428571427,0.8632802351821146
0.1,3.0,0.5,0.79,8,19,0.005,-0.3781752937984214,-0.21816334657556058,-0.32002389444572166,415,0.2433734939759036,0.8502894683752312
0.1,2.0,0.618,0.79,8,20,0.0075,-0.3786415481439558,-0.21424973007584935,-0.32878363613621286,339,0.3421828908554572,0.8718068458962075
0.3,2.5,0.5,0.79,7,19,0.0075,-0.37987257967130755,-0.2170694402008927,-0.3256062789408297,449,0.29175946547884185,0.9038938326472392
0.2,3.0,0.618,0.79,7,19,0.005,-0.38060865966723545,-0.225768793175524,-0.3096797329834229,314,0.23885350318471338,0.8059684507003684
0.3,3.0,0.618,0.79,7,19,0.005,-0.38589296044621085,-0.2326868838505115,-0.3064121531913987,305,0.2360655737704918,0.7933661888800224
0.3,2.5,0.5,0.79,8,20,0.01,-0.38601360724801,-0.17654758208879662,-0.41893205031842673,457,0.30196936542669583,0.9476284101094027
0.1,2.0,0.618,0.79,7,20,0.0075,-0.397222034972534,-0.23126966522591874,-0.3319047394932305,371,0.3423180592991914,0.868992240443135
0.1,3.0,0.5,0.79,7,20,0.005,-0.40070535347951264,-0.24887083225062,-0.30366904245778525,473,0.24312896405919662,0.8494477427598609
0.1,2.0,0.5,0.79,7,20,0.0075,-0.4019056849018027,-0.21315617332610093,-0.3774990231514035,576,0.3472222222222222,0.9180293963477412
0.1,3.0,0.5,0.79,7,19,0.005,-0.4044413251522249,-0.2471572669505716,-0.3145681164033066,440,0.2409090909090909,0.8356878660165283
0.2,2.0,0.618,0.79,8,20,0.0075,-0.406071017616653,-0.2335026219757953,-0.34513679128171537,329,0.3373860182370821,0.854939322821523
0.2,2.5,0.5,0.79,8,19,0.0075,-0.4075111247774513,-0.2331654652633791,-0.3486913190281443,432,0.28935185185185186,0.8955750166617652
0.3,2.5,0.5,0.79,7,20,0.01,-0.4082397523432919,-0.2153540847263017,-0.38577133523398044,484,0.29958677685950413,0.9355453137825215
0.1,2.5,0.5,0.79,7,20,0.01,-0.4088386241860972,-0.22348256438889957,-0.3707121195943952,512,0.30078125,0.9361947643990934
0.2,3.0,0.618,0.79,7,20,0.005,-0.41117504048674686,-0.2469101741005365,-0.3285297327724207,333,0.23723723723723725,0.7988680935554313
0.3,3.0,0.5,0.79,8,20,0.005,-0.41146698668628146,-0.2370878092505645,-0.3487583548714339,430,0.24186046511627907,0.8439005075517609
0.3,2.0,0.618,0.79,8,20,0.0075,-0.41193183432691854,-0.23789378155080043,-0.3480761055522362,319,0.335423197492163,0.8493558741387655
0.1,2.5,0.618,0.79,8,20,0.0075,-0.4128035534774452,-0.22590999835082237,-0.3737871102532456,324,0.29012345679012347,0.8726049138146298
0.1,2.0,0.618,0.79,8,19,0.0075,-0.41312488916840123,-0.23844516865078036,-0.34935944103524175,311,0.33440514469453375,0.8451364070912505
