min_gap,fib_lower,fib_upper,tp_extension,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.4,0.5,0.618,-2.0,0.3,mid,-0.14173237589233756,-0.06713860085019008,-0.14918755008429496,123,0.15447154471544716,0.8724599753304259
0.4,0.5,0.618,-1.0,0.2,mid,-0.1508842185096425,-0.07843659030016059,-0.14489525641896384,134,0.22388059701492538,0.8496029021092835
0.3,0.5,0.618,-2.0,0.2,mid,-0.1658329802574705,-0.09148170105015085,-0.1487025584146393,125,0.144,0.8295521878071942
0.4,0.5,0.618,-2.0,0.2,mid,-0.16804709882970548,-0.09138694792515012,-0.15332030180911072,125,0.144,0.8293652479628522
0.2,0.5,0.618,-2.0,0.3,mid,-0.19146879363338193,-0.1121169661002076,-0.15870365506634865,127,0.14173228346456693,0.7943092372818626
0.2,0.5,0.618,-1.0,0.1,mid,-0.19269500300920755,-0.10964966015026978,-0.16609068571787555,142,0.2112676056338028,0.8044716871363258
0.3,0.5,0.618,-1.0,0.1,mid,-0.20527182072577393,-0.12132383492524734,-0.16789597160105318,136,0.20588235294117646,0.7745230444986875
0.2,0.5,0.618,-2.0,0.2,mid,-0.21758708279059819,-0.1361711877001649,-0.16283179018086658,129,0.13178294573643412,0.7540810663358887
0.4,0.5,0.618,-2.0,0.1,mid,-0.21955749246740763,-0.14128689387523463,-0.156541197184346,125,0.128,0.7393483844931449
0.3,0.5,0.618,-2.0,0.1,mid,-0.2196801987007297,-0.14136898642523577,-0.15662242455098785,125,0.128,0.7397738383677626
0.4,0.5,0.618,-1.0,0.1,mid,-0.22106565104416415,-0.13048125542524014,-0.18116879123784801,134,0.20149253731343283,0.7520890228600738
0.2,0.5,0.618,-2.0,0.1,mid,-0.27922829358586426,-0.18461666952525468,-0.18922324812121916,129,0.11627906976744186,0.6702739607300103
0.4,0.5,0.618,-1.0,0.3,edge,-0.6503219301594912,-0.2509548276000537,-0.798734205118875,43,0.23255813953488372,0.8433032049669387
0.2,0.5,0.618,-1.0,0.3,edge,-0.6503399790661116,-0.2509787722000605,-0.7987224137321023,48,0.22916666666666666,0.8599229878168104
0.4,0.5,0.618,-2.0,0.3,edge,-0.6638697523223246,-0.262905851850047,-0.8019278009445552,35,0.14285714285714285,0.724891556219688
0.3,0.5,0.618,-1.0,0.3,edge,-0.6664096198601412,-0.26513752035004867,-0.8025441990201853,43,0.20930232558139536,0.7405406537192952
0.4,0.5,0.618,-0.618,0.3,edge,-0.6674258854244193,-0.2660304005556545,-0.8027909697375295,43,0.2558139534883721,0.7157369948825222
0.2,0.5,0.618,-0.618,0.3,edge,-0.6716458832201988,-0.26975297387636044,-0.8037858186876768,48,0.25,0.7200421029376004
0.2,0.5,0.618,-2.0,0.3,edge,-0.6748131245747382,-0.272546402300052,-0.8045334445493723,39,0.1282051282051282,0.6822037010019584
0.3,0.5,0.618,-0.618,0.3,edge,-0.6802597180261282,-0.2773618015480479,-0.8057958329561605,43,0.23255813953488372,0.6350281895275722
0.4,0.5,0.618,-1.0,0.2,edge,-0.6828477338003193,-0.26971673255004225,-0.826262002500554,43,0.20930232558139536,0.7612555859603131
0.2,0.5,0.618,-1.0,0.2,edge,-0.6829767812476663,-0.26981483180004706,-0.8263238988952384,48,0.20833333333333334,0.7856634412739716
0.3,0.5,0.618,-2.0,0.3,edge,-0.686081068825284,-0.2824869915500442,-0.8071881545504795,35,0.11428571428571428,0.5701256082541912
0.4,0.5,0.618,-0.618,0.2,edge,-0.6969888633322096,-0.28233763847974336,-0.8293024497049324,43,0.23255813953488372,0.6528933373796243
0.3,0.5,0.618,-1.0,0.2,edge,-0.699274307069559,-0.2843874718500362,-0.8297736704390455,43,0.18604651162790697,0.659114387866681
0.4,0.5,0.618,-1.0,0.1,edge,-0.7004011587720163,-0.2745080347000639,-0.8517862481439048,43,0.20930232558139536,0.7837568639218974
0.2,0.5,0.618,-1.0,0.1,edge,-0.7006402935740337,-0.27473911170007104,-0.8518023637479253,48,0.20833333333333334,0.8047807379179663
0.2,0.5,0.618,-0.618,0.2,edge,-0.7011001475403931,-0.2860113952938471,-0.8301775044930918,48,0.22916666666666666,0.6639243079080386
0.3,0.5,0.618,-0.618,0.2,edge,-0.7100648532966936,-0.2940330029283361,-0.8320637007367149,43,0.20930232558139536,0.5727181097784864
0.4,0.5,0.618,-2.0,0.2,edge,-0.7122001722881706,-0.2959349974500374,-0.8325303496762664,37,0.10810810810810811,0.5482893973447056
0.4,0.5,0.618,-0.618,0.1,edge,-0.7147499480858471,-0.2875292759310637,-0.8544413443095669,43,0.23255813953488372,0.6721073095389385
0.3,0.5,0.618,-1.0,0.1,edge,-0.7175313675782435,-0.2900531120000581,-0.854956511156371,43,0.18604651162790697,0.673576696188503
0.2,0.5,0.618,-0.618,0.1,edge,-0.7188603847928351,-0.29127381325297075,-0.8551731430797287,48,0.22916666666666666,0.6803659069175311
0.2,0.5,0.618,-2.0,0.2,edge,-0.7232075479129563,-0.30577293095004143,-0.8348692339258297,41,0.0975609756097561,0.524612810113157
0.3,0.5,0.618,-0.618,0.1,edge,-0.728326024230084,-0.2998559898930563,-0.8569400686740553,43,0.20930232558139536,0.5857729503875885
0.4,0.5,0.618,-2.0,0.1,edge,-0.7292444290148392,-0.30068350925005827,-0.8571218395295618,37,0.10810810810810811,0.5702373797460971
0.3,0.5,0.618,-2.0,0.2,edge,-0.7345500006434562,-0.3159060372500344,-0.8372879267868436,37,0.08108108108108109,0.4062962807518625
0.2,0.5,0.618,-2.0,0.1,edge,-0.74094375302084,-0.3112928433500639,-0.8593018193415523,41,0.0975609756097561,0.5382971342046363
0.3,0.5,0.618,-2.0,0.1,edge,-0.7527722228589121,-0.32202411530005515,-0.8614962151177139,37,0.08108108108108109,0.4158098056004202
