time,equity
2026-03-01 23:42:00+00:00,100000.0
2026-03-01 23:43:00+00:00,100000.0
2026-03-01 23:44:00+00:00,100000.0
2026-03-01 23:45:00+00:00,100000.0
2026-03-01 23:46:00+00:00,100000.0
2026-03-01 23:47:00+00:00,100000.0
2026-03-01 23:48:00+00:00,100000.0
2026-03-01 23:49:00+00:00,100000.0
2026-03-01 23:50:00+00:00,100000.0
2026-03-01 23:51:00+00:00,100000.0
2026-03-01 23:52:00+00:00,100000.0
2026-03-01 23:53:00+00:00,100000.0
2026-03-01 23:54:00+00:00,100000.0
2026-03-01 23:55:00+00:00,100000.0
2026-03-01 23:56:00+00:00,100000.0
2026-03-01 23:57:00+00:00,100000.0
2026-03-01 23:58:00+00:00,100000.0
2026-03-01 23:59:00+00:00,100000.0
