entry_time,exit_time,side,qty,entry_price,exit_price,sl_price,tp_price,pnl,pnl_pct,r_multiple,tag,exit_reason,initial_sl_price,initial_risk_per_unit,initial_risk_amount
2024-11-06 08:38:00+00:00,2024-11-06 09:24:00+00:00,sell,180.27,2729.8065,2720.323,2729.7565,2720.173,1709.59054500005,0.0170959054500005,3.243885753378537,ICT_FVG_FIBO,take_profit,2732.7299999999996,2.9234999999994216,527.0193449998958
2024-12-11 05:58:00+00:00,2024-12-11 07:28:00+00:00,buy,211.89000000000001,2689.1285000000003,2689.0285000000003,2689.1785000000004,2699.778500000001,-21.18899999998073,-0.0002118899999998073,-0.03921568627447134,ICT_FVG_FIBO,stop_loss,2686.5785,2.550000000000182,540.3195000000386
2024-12-18 08:29:00+00:00,2024-12-18 13:07:00+00:00,buy,194.76,2644.7850000000003,2641.8745000000004,2642.0245000000004,2653.6684999999998,-566.8489799999915,-0.005668489799999915,-1.054337982249628,ICT_FVG_FIBO,stop_loss,2642.0245000000004,2.7604999999998654,537.6349799999738
2025-02-21 06:20:00+00:00,2025-02-21 06:30:00+00:00,sell,237.93,2928.16,2930.585,2930.435,2921.158,-576.9802500000433,-0.005769802500000433,-1.0659340659341032,ICT_FVG_FIBO,stop_loss,2930.435,2.275000000000091,541.2907500000216
2025-03-28 08:00:00+00:00,2025-03-28 08:18:00+00:00,sell,224.42000000000002,3080.4649999999997,3072.9950000000003,3080.4149999999995,3072.8450000000003,1676.4173999998532,0.016764173999998532,3.125523012552194,ICT_FVG_FIBO,take_profit,3082.8549999999996,2.3899999999998727,536.3637999999714
2025-04-04 05:15:00+00:00,2025-04-04 05:27:00+00:00,sell,182.86,3102.3849999999998,3105.48,3105.33,3092.5999999999995,-565.9517000000466,-0.005659517000000466,-1.0509337860781265,ICT_FVG_FIBO,stop_loss,3105.33,2.9450000000001637,538.52270000003
2025-04-04 08:55:00+00:00,2025-04-04 09:02:00+00:00,sell,237.67000000000002,3085.4649999999997,3087.9035,3087.7535,3076.2564999999995,-579.5582950000485,-0.005795582950000485,-1.0655451168888284,ICT_FVG_FIBO,stop_loss,3087.7535,2.2885000000001128,543.9077950000268
2025-04-09 07:53:00+00:00,2025-04-09 07:57:00+00:00,buy,202.55,3045.72,3042.925,3043.0750000000003,3053.8849999999998,-566.1272499999227,-0.005661272499999227,-1.0567107750473035,ICT_FVG_FIBO,stop_loss,3043.0750000000003,2.644999999999527,535.7447499999042
2025-04-11 06:09:00+00:00,2025-04-11 06:57:00+00:00,buy,112.55,3196.065,3195.965,3196.1150000000002,3212.56,-11.254999999989764,-0.00011254999999989764,-0.021668472372679045,ICT_FVG_FIBO,stop_loss,3191.4500000000003,4.614999999999782,519.4182499999754
2025-04-23 06:22:00+00:00,2025-04-23 06:51:00+00:00,sell,123.31,3324.69,3310.2949999999996,3324.64,3310.1449999999995,1775.047450000054,0.01775047450000054,3.4071005917161528,ICT_FVG_FIBO,take_profit,3328.915,4.224999999999909,520.9847499999888
