entry_time,exit_time,side,qty,entry_price,exit_price,sl_price,tp_price,pnl,pnl_pct,r_multiple,tag,exit_reason
2026-03-16 13:34:00+00:00,2026-03-16 13:38:00+00:00,sell,157.72,5024.8949999999995,5028.365000000001,5028.215,5017.12,-547.2884000001836,-0.005472884000001836,-1.0451807228917223,ICT_FVG_FIBO,stop_loss
2026-03-16 13:48:00+00:00,2026-03-16 14:08:00+00:00,buy,141.06,5026.055,5034.5675,5022.379999999999,5034.717500000001,1200.7732499999743,0.012007732499999743,2.3163265306115073,ICT_FVG_FIBO,take_profit
2026-03-16 16:12:00+00:00,2026-03-16 16:20:00+00:00,sell,258.28000000000003,4997.3099999999995,4992.7387499999995,4999.4085000000005,4992.588749999999,1180.6624499999907,0.011806624499999908,2.1783416726222806,ICT_FVG_FIBO,take_profit
2026-03-17 13:50:00+00:00,2026-03-17 13:51:00+00:00,buy,243.70000000000002,5020.164250000001,5017.774999999999,5017.924999999999,5025.237375000002,-582.2602250004859,-0.0058226022500048585,-1.0669867143018639,ICT_FVG_FIBO,stop_loss
2026-03-17 14:06:00+00:00,2026-03-17 14:08:00+00:00,sell,107.29,5013.365,5018.383500000001,5018.2335,5001.71875,-538.4348650001117,-0.005384348650001117,-1.0308103111842521,ICT_FVG_FIBO,stop_loss
2026-03-17 16:55:00+00:00,2026-03-17 16:56:00+00:00,sell,274.42,5001.405,5003.540000000001,5003.39,4996.967500000001,-585.8867000003095,-0.005858867000003095,-1.0755667506299758,ICT_FVG_FIBO,stop_loss
2026-03-18 01:10:00+00:00,2026-03-18 01:20:00+00:00,sell,266.08,5013.037499999999,5015.2300000000005,5015.08,5008.45625,-583.380400000271,-0.00583380400000271,-1.0734394124849502,ICT_FVG_FIBO,stop_loss
2026-03-18 13:30:00+00:00,2026-03-18 13:36:00+00:00,sell,49.99,4853.294999999999,4863.55,4863.4,4828.5575,-512.647450000051,-0.0051264745000005095,-1.0148441365661098,ICT_FVG_FIBO,stop_loss
2026-03-18 16:35:00+00:00,2026-03-18 16:36:00+00:00,buy,322.05,4875.597500000001,4873.759999999999,4873.91,4879.291250000001,-591.7668750004686,-0.005917668750004686,-1.0888888888891644,ICT_FVG_FIBO,stop_loss
2026-03-19 13:07:00+00:00,2026-03-19 13:53:00+00:00,sell,21.28,4562.91825,4586.345000000001,4586.195000000001,4505.251375,-498.52124000003084,-0.004985212400000308,-1.0064441986102244,ICT_FVG_FIBO,stop_loss
2026-03-19 14:10:00+00:00,2026-03-19 14:11:00+00:00,buy,118.5,4627.682500000001,4637.713750000002,4623.4,4637.863750000002,1188.7031250001078,0.011887031250001078,2.3423817863393306,ICT_FVG_FIBO,take_profit
2026-03-19 14:15:00+00:00,2026-03-19 14:16:00+00:00,buy,57.64,4627.682500000001,4618.784499999999,4618.934499999999,4649.027500000002,-512.8807200001128,-0.005128807200001128,-1.017146776406095,ICT_FVG_FIBO,stop_loss
2026-03-19 14:47:00+00:00,2026-03-19 14:49:00+00:00,sell,38.22,4603.7845,4616.982500000001,4616.8325,4571.6895,-504.427560000047,-0.005044275600000469,-1.01149601471494,ICT_FVG_FIBO,stop_loss
2026-03-19 15:15:00+00:00,2026-03-19 15:17:00+00:00,buy,52.870000000000005,4619.7025,4610.124999999999,4610.275,4642.74625,-506.36242500006546,-0.005063624250000655,-1.0159108989658483,ICT_FVG_FIBO,stop_loss
2026-03-19 16:10:00+00:00,2026-03-19 16:11:00+00:00,buy,1790.94,4611.2275,4610.655,4610.805,4611.758749999997,-1025.313150000391,-0.01025313150000391,-1.3550295858003836,ICT_FVG_FIBO,sl_and_tp_hit_sl_first
2026-03-19 16:57:00+00:00,2026-03-19 17:09:00+00:00,sell,78.55,4591.617499999999,4576.548749999998,4597.915000000001,4576.398749999998,1183.6503125001,0.011836503125000999,2.3928146089714497,ICT_FVG_FIBO,take_profit
2026-03-20 15:39:00+00:00,2026-03-20 15:49:00+00:00,sell,56.9,4567.355,4546.18,4576.095,4546.03,1204.8574999999585,0.012048574999999584,2.4227688787182604,ICT_FVG_FIBO,take_profit
2026-03-20 15:55:00+00:00,2026-03-20 16:00:00+00:00,sell,103.81,4555.651749999999,4560.718500000001,4560.5685,4543.884874999998,-525.9793175001843,-0.0052597931750018425,-1.0305079574923492,ICT_FVG_FIBO,stop_loss
2026-03-20 16:00:00+00:00,2026-03-20 16:03:00+00:00,sell,82.41,4560.564249999999,4566.868500000001,4566.718500000001,4545.703624999998,-519.5332425001612,-0.0051953324250016125,-1.0243734004956755,ICT_FVG_FIBO,stop_loss
2026-03-20 16:41:00+00:00,2026-03-20 16:43:00+00:00,buy,71.46000000000001,4590.857500000001,4583.706499999999,4583.8565,4607.835000000002,-511.0104600001186,-0.005110104600001186,-1.0214255106414114,ICT_FVG_FIBO,stop_loss
2026-03-20 16:43:00+00:00,2026-03-20 16:47:00+00:00,buy,37.88,4583.67925,4570.456499999999,4570.6065,4615.836124999999,-500.8777700000309,-0.005008777700000309,-1.0114742498709564,ICT_FVG_FIBO,stop_loss
2026-03-23 15:18:00+00:00,2026-03-23 15:37:00+00:00,buy,27.580000000000002,4437.4130000000005,4419.5464999999995,4419.6965,4481.179249999999,-492.75807000002754,-0.004927580700000276,-1.0084666836000644,ICT_FVG_FIBO,stop_loss
2026-03-23 16:06:00+00:00,2026-03-23 16:11:00+00:00,sell,44.49,4369.63,4380.765000000001,4380.615000000001,4342.692500000001,-495.39615000005017,-0.004953961500000502,-1.0136549840692342,ICT_FVG_FIBO,stop_loss
2026-03-23 16:37:00+00:00,2026-03-23 16:46:00+00:00,sell,90.75,4384.365,4389.950000000001,4389.8,4371.302500000001,-506.83875000008584,-0.005068387500000858,-1.0275988960442566,ICT_FVG_FIBO,stop_loss
