min_gap,fib_lower,fib_upper,tp_extension,stop_buffer,entry_at,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.2,0.5,0.618,-1.0,0.3,edge,-0.2833273692479683,-0.011722655550087668,-0.5432094273957613,70,0.24285714285714285,0.9578823476017105
0.3,0.5,0.618,-1.0,0.3,edge,-0.2900446151479683,-0.01843990145008767,-0.5432094273957613,67,0.23880597014925373,0.9322723690708923
0.4,0.5,0.618,-1.0,0.2,edge,-0.30397021929411155,-0.024805696200065896,-0.5583290461880913,65,0.23076923076923078,0.9069477018746473
0.2,0.5,0.618,-1.0,0.2,edge,-0.3079853881441143,-0.028820865050068645,-0.5583290461880913,70,0.22857142857142856,0.8990130994746839
0.4,0.5,0.618,-1.0,0.1,edge,-0.3083530247412231,-0.021181853800099182,-0.5743423418822479,65,0.23076923076923078,0.92066676673367
0.2,0.5,0.618,-1.0,0.1,edge,-0.31223734859122904,-0.025066177650105104,-0.5743423418822479,70,0.22857142857142856,0.9123501103421808
0.3,0.5,0.618,-1.0,0.2,edge,-0.3147791487941148,-0.035614625700069125,-0.5583290461880913,67,0.22388059701492538,0.8712561889801262
0.4,0.5,0.618,-0.618,0.3,edge,-0.3164058730659104,-0.04481248306658614,-0.5431867799986485,70,0.2714285714285714,0.8361596622876458
0.2,0.5,0.618,-2.0,0.3,edge,-0.3174676565029819,-0.03962838480008024,-0.5556785434058034,67,0.14925373134328357,0.8666914054830823
0.3,0.5,0.618,-1.0,0.1,edge,-0.3192373851912281,-0.03206621425010414,-0.5743423418822479,67,0.22388059701492538,0.8844449912756325
0.4,0.5,0.618,-2.0,0.3,edge,-0.32082041235297665,-0.04298114065007497,-0.5556785434058034,62,0.14516129032258066,0.846753425447139
0.2,0.5,0.618,-0.618,0.3,edge,-0.3245234518347152,-0.05293006183539095,-0.5431867799986485,75,0.26666666666666666,0.8188557424331773
0.3,0.5,0.618,-0.618,0.3,edge,-0.32695423342151453,-0.055360843422190276,-0.5431867799986485,72,0.2638888888888889,0.8042870840630625
0.3,0.5,0.618,-2.0,0.3,edge,-0.3313917450029813,-0.05355247330007962,-0.5556785434058034,64,0.140625,0.8148838949511106
0.4,0.5,0.618,-0.618,0.2,edge,-0.3377357594492474,-0.058562192260768975,-0.5583471343769568,70,0.2571428571428571,0.7882035629936631
0.4,0.5,0.618,-0.618,0.1,edge,-0.3430453374786506,-0.055886566197102416,-0.5743175425630964,70,0.2571428571428571,0.7985870544986244
0.2,0.5,0.618,-0.618,0.2,edge,-0.34563647922225016,-0.06646291203377175,-0.5583471343769568,75,0.25333333333333335,0.7746361368997834
0.3,0.5,0.618,-0.618,0.2,edge,-0.34816976766445085,-0.06899620047597244,-0.5583471343769568,72,0.25,0.7584447357811632
0.2,0.5,0.618,-2.0,0.2,edge,-0.35039429263363253,-0.06518988460006081,-0.5704088160671434,67,0.13432835820895522,0.7805258123401169
0.2,0.5,0.618,-0.618,0.1,edge,-0.350866994477957,-0.06370822319640879,-0.5743175425630964,75,0.25333333333333335,0.7847150789028121
0.3,0.5,0.618,-0.618,0.1,edge,-0.3535440553278558,-0.06638528404630761,-0.5743175425630964,72,0.25,0.7684235541259773
0.2,0.5,0.618,-2.0,0.1,edge,-0.3538340280851473,-0.06083894870009654,-0.5859901587701015,67,0.13432835820895522,0.7959753097439423
0.4,0.5,0.618,-2.0,0.2,edge,-0.3541766955836292,-0.06897228755005747,-0.5704088160671434,62,0.12903225806451613,0.7538943493271555
0.4,0.5,0.618,-2.0,0.1,edge,-0.35817188863514116,-0.0651768092500904,-0.5859901587701015,62,0.12903225806451613,0.7683945372679215
0.3,0.5,0.618,-2.0,0.2,edge,-0.36449427078363217,-0.07928986275006045,-0.5704088160671434,64,0.125,0.7253446769084659
0.3,0.5,0.618,-2.0,0.1,edge,-0.36856785088514576,-0.075572771500095,-0.5859901587701015,64,0.125,0.7393114559881125
