min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.3,0.6,0.7,0.25,edge,8,3.5,4.0,0.007530569999732839,0.03147722199994507,-0.047893304000424464,25,0.24,1.3321451489043692
0.3,0.6,0.7,0.25,mid,8,3.0,4.5,0.004890940050412407,0.04159178432492561,-0.0734016885490264,46,0.2391304347826087,1.2101980438853746
0.3,0.6,0.7,0.25,mid,8,3.0,4.0,0.004890940050412407,0.04159178432492561,-0.0734016885490264,46,0.2391304347826087,1.2101980438853746
0.3,0.6,0.7,0.25,mid,8,3.5,4.5,0.004890940050412407,0.04159178432492561,-0.0734016885490264,46,0.2391304347826087,1.2101980438853746
0.3,0.6,0.7,0.25,mid,8,3.5,4.0,0.004890940050412407,0.04159178432492561,-0.0734016885490264,46,0.2391304347826087,1.2101980438853746
0.25,0.55,0.7,0.2,edge,8,3.5,4.5,0.001917698300990811,0.03845489829992532,-0.07307439999786902,47,0.23404255319148937,1.2170300597756665
0.25,0.55,0.7,0.2,edge,8,3.5,4.0,0.001917698300990811,0.03845489829992532,-0.07307439999786902,47,0.23404255319148937,1.2170300597756665
0.25,0.6,0.65,0.2,edge,6,3.5,4.5,0.001481269098924043,0.0256160181999745,-0.04826949820210091,14,0.2857142857142857,1.5156397707887173
0.25,0.6,0.65,0.2,edge,6,3.5,4.0,0.001481269098924043,0.0256160181999745,-0.04826949820210091,14,0.2857142857142857,1.5156397707887173
0.25,0.6,0.65,0.2,edge,6,3.0,4.5,0.001481269098924043,0.0256160181999745,-0.04826949820210091,14,0.2857142857142857,1.5156397707887173
0.25,0.6,0.65,0.2,edge,6,3.0,4.0,0.001481269098924043,0.0256160181999745,-0.04826949820210091,14,0.2857142857142857,1.5156397707887173
0.25,0.6,0.65,0.25,edge,6,3.0,4.0,0.0004114484453516254,0.024264253799972213,-0.047705610709241175,14,0.2857142857142857,1.4895245287729801
0.25,0.6,0.65,0.25,edge,6,3.0,4.5,0.0004114484453516254,0.024264253799972213,-0.047705610709241175,14,0.2857142857142857,1.4895245287729801
0.25,0.6,0.65,0.25,edge,6,3.5,4.0,0.0004114484453516254,0.024264253799972213,-0.047705610709241175,14,0.2857142857142857,1.4895245287729801
0.25,0.6,0.65,0.25,edge,6,3.5,4.5,0.0004114484453516254,0.024264253799972213,-0.047705610709241175,14,0.2857142857142857,1.4895245287729801
0.25,0.55,0.7,0.25,edge,8,3.5,4.0,-0.0013337488552941368,0.034913559899917956,-0.07249461751042419,47,0.23404255319148937,1.1975532225893961
0.25,0.55,0.7,0.25,edge,8,3.5,4.5,-0.0013337488552941368,0.034913559899917956,-0.07249461751042419,47,0.23404255319148937,1.1975532225893961
0.3,0.55,0.7,0.2,mid,6,3.5,4.5,-0.0019357351318675664,0.036531997024923824,-0.07693546431358278,62,0.24193548387096775,1.1422075787384014
0.3,0.55,0.7,0.2,mid,6,3.5,4.0,-0.0019357351318675664,0.036531997024923824,-0.07693546431358278,62,0.24193548387096775,1.1422075787384014
0.3,0.55,0.7,0.2,mid,6,3.0,4.5,-0.0019357351318675664,0.036531997024923824,-0.07693546431358278,62,0.24193548387096775,1.1422075787384014
0.3,0.55,0.7,0.2,mid,6,3.0,4.0,-0.0019357351318675664,0.036531997024923824,-0.07693546431358278,62,0.24193548387096775,1.1422075787384014
0.25,0.55,0.65,0.2,mid,6,3.0,4.0,-0.003872737995502251,0.026378710424932894,-0.06050289684087029,57,0.24561403508771928,1.1164712116118611
0.25,0.55,0.65,0.2,mid,6,3.0,4.5,-0.003872737995502251,0.026378710424932894,-0.06050289684087029,57,0.24561403508771928,1.1164712116118611
0.25,0.55,0.65,0.2,mid,6,3.5,4.0,-0.003872737995502251,0.026378710424932894,-0.06050289684087029,57,0.24561403508771928,1.1164712116118611
0.25,0.55,0.65,0.2,mid,6,3.5,4.5,-0.003872737995502251,0.026378710424932894,-0.06050289684087029,57,0.24561403508771928,1.1164712116118611
0.3,0.55,0.7,0.25,mid,6,3.0,4.0,-0.00563170193193413,0.032894905524912366,-0.07705321491369299,62,0.24193548387096775,1.1284951958937113
0.3,0.55,0.7,0.25,mid,6,3.0,4.5,-0.00563170193193413,0.032894905524912366,-0.07705321491369299,62,0.24193548387096775,1.1284951958937113
0.3,0.55,0.7,0.25,mid,6,3.5,4.0,-0.00563170193193413,0.032894905524912366,-0.07705321491369299,62,0.24193548387096775,1.1284951958937113
0.3,0.55,0.7,0.25,mid,6,3.5,4.5,-0.00563170193193413,0.032894905524912366,-0.07705321491369299,62,0.24193548387096775,1.1284951958937113
0.25,0.55,0.65,0.25,mid,6,3.0,4.0,-0.0069645679868964305,0.023240491299923338,-0.06041011857363954,57,0.24561403508771928,1.102903604608009
0.25,0.55,0.65,0.25,mid,6,3.0,4.5,-0.0069645679868964305,0.023240491299923338,-0.06041011857363954,57,0.24561403508771928,1.102903604608009
0.25,0.55,0.65,0.25,mid,6,3.5,4.0,-0.0069645679868964305,0.023240491299923338,-0.06041011857363954,57,0.24561403508771928,1.102903604608009
0.25,0.55,0.65,0.25,mid,6,3.5,4.5,-0.0069645679868964305,0.023240491299923338,-0.06041011857363954,57,0.24561403508771928,1.102903604608009
0.25,0.55,0.7,0.2,edge,6,3.5,4.5,-0.009291043598988746,0.027246156399945765,-0.07307439999786902,39,0.23076923076923078,1.1826632647770148
0.25,0.55,0.7,0.2,edge,6,3.5,4.0,-0.009291043598988746,0.027246156399945765,-0.07307439999786902,39,0.23076923076923078,1.1826632647770148
0.25,0.55,0.7,0.2,edge,8,3.0,4.5,-0.010815553149014334,0.025721646849920177,-0.07307439999786902,49,0.22448979591836735,1.1369453400119998
0.25,0.55,0.7,0.2,edge,8,3.0,4.0,-0.010815553149014334,0.025721646849920177,-0.07307439999786902,49,0.22448979591836735,1.1369453400119998
0.25,0.55,0.7,0.25,edge,6,3.5,4.0,-0.011791993955272528,0.024455314799939565,-0.07249461751042419,39,0.23076923076923078,1.1643036636643775
0.25,0.55,0.7,0.25,edge,6,3.5,4.5,-0.011791993955272528,0.024455314799939565,-0.07249461751042419,39,0.23076923076923078,1.1643036636643775
0.25,0.55,0.7,0.25,edge,8,3.0,4.0,-0.013935260105300773,0.02231204864991132,-0.07249461751042419,49,0.22448979591836735,1.119130506133354
0.25,0.55,0.7,0.25,edge,8,3.0,4.5,-0.013935260105300773,0.02231204864991132,-0.07249461751042419,49,0.22448979591836735,1.119130506133354
0.25,0.55,0.7,0.2,edge,6,3.0,4.5,-0.015644625698990333,0.020892574299944178,-0.07307439999786902,40,0.225,1.1348947108957477
0.25,0.55,0.7,0.2,edge,6,3.0,4.0,-0.015644625698990333,0.020892574299944178,-0.07307439999786902,40,0.225,1.1348947108957477
0.25,0.6,0.65,0.2,mid,8,3.0,4.5,-0.017877498952822368,0.006460588874948048,-0.04867617565554083,36,0.2222222222222222,1.0420671962417223
0.25,0.6,0.65,0.2,mid,8,3.0,4.0,-0.017877498952822368,0.006460588874948048,-0.04867617565554083,36,0.2222222222222222,1.0420671962417223
0.25,0.6,0.65,0.2,mid,8,3.5,4.5,-0.017877498952822368,0.006460588874948048,-0.04867617565554083,36,0.2222222222222222,1.0420671962417223
0.25,0.6,0.65,0.2,mid,8,3.5,4.0,-0.017877498952822368,0.006460588874948048,-0.04867617565554083,36,0.2222222222222222,1.0420671962417223
0.25,0.55,0.7,0.25,edge,6,3.0,4.0,-0.01808302390527483,0.018164284849937262,-0.07249461751042419,40,0.225,1.1175559255337852
0.25,0.55,0.7,0.25,edge,6,3.0,4.5,-0.01808302390527483,0.018164284849937262,-0.07249461751042419,40,0.225,1.1175559255337852
0.3,0.6,0.7,0.2,edge,6,3.5,4.5,-0.018612945012950743,0.005521078449967298,-0.04826804692583608,20,0.2,1.0668512018566572
0.3,0.6,0.7,0.2,edge,6,3.5,4.0,-0.018612945012950743,0.005521078449967298,-0.04826804692583608,20,0.2,1.0668512018566572
0.3,0.6,0.7,0.2,edge,6,3.0,4.5,-0.018612945012950743,0.005521078449967298,-0.04826804692583608,20,0.2,1.0668512018566572
0.3,0.6,0.7,0.2,edge,6,3.0,4.0,-0.018612945012950743,0.005521078449967298,-0.04826804692583608,20,0.2,1.0668512018566572
0.3,0.6,0.7,0.25,edge,6,3.5,4.5,-0.019489835895649177,0.004361807299963161,-0.047703286391224675,20,0.2,1.0529480245500749
0.3,0.6,0.7,0.25,edge,6,3.5,4.0,-0.019489835895649177,0.004361807299963161,-0.047703286391224675,20,0.2,1.0529480245500749
0.3,0.6,0.7,0.25,edge,6,3.0,4.5,-0.019489835895649177,0.004361807299963161,-0.047703286391224675,20,0.2,1.0529480245500749
0.3,0.6,0.7,0.25,edge,6,3.0,4.0,-0.019489835895649177,0.004361807299963161,-0.047703286391224675,20,0.2,1.0529480245500749
0.25,0.6,0.65,0.25,mid,8,3.0,4.0,-0.019652596433878122,0.004559309224940744,-0.04842381131763773,36,0.2222222222222222,1.0297558473231259
0.25,0.6,0.65,0.25,mid,8,3.0,4.5,-0.019652596433878122,0.004559309224940744,-0.04842381131763773,36,0.2222222222222222,1.0297558473231259
0.25,0.6,0.65,0.25,mid,8,3.5,4.0,-0.019652596433878122,0.004559309224940744,-0.04842381131763773,36,0.2222222222222222,1.0297558473231259
0.25,0.6,0.65,0.25,mid,8,3.5,4.5,-0.019652596433878122,0.004559309224940744,-0.04842381131763773,36,0.2222222222222222,1.0297558473231259
