min_gap,fib_lower,fib_upper,stop_buffer,entry_at,max_zone_age_bars,min_impulse_size,strong_impulse_size,strong_only,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.25,0.55,0.7,0.2,mid,8,3.0,4.0,True,0.11215628772458952,0.14242588342489593,-0.06053919140061281,79,0.27848101265822783,1.475357261960397
0.25,0.55,0.7,0.2,mid,8,3.5,4.0,True,0.11215628772458952,0.14242588342489593,-0.06053919140061281,79,0.27848101265822783,1.475357261960397
0.25,0.55,0.7,0.25,mid,8,3.5,4.0,True,0.1063674472382109,0.1363984232998834,-0.060061952123344975,79,0.27848101265822783,1.4569054721080628
0.25,0.55,0.7,0.25,mid,8,3.0,4.0,True,0.1063674472382109,0.1363984232998834,-0.060061952123344975,79,0.27848101265822783,1.4569054721080628
0.25,0.55,0.7,0.2,mid,8,3.0,4.5,True,0.10401865672460342,0.13428825242490983,-0.06053919140061281,75,0.28,1.467644437721599
0.25,0.55,0.7,0.2,mid,8,3.5,4.5,True,0.10401865672460342,0.13428825242490983,-0.06053919140061281,75,0.28,1.467644437721599
0.25,0.55,0.7,0.25,mid,8,3.5,4.5,True,0.09880387833822557,0.12883485439989806,-0.060061952123344975,75,0.28,1.4501666933050064
0.25,0.55,0.7,0.25,mid,8,3.0,4.5,True,0.09880387833822557,0.12883485439989806,-0.060061952123344975,75,0.28,1.4501666933050064
0.25,0.6,0.7,0.2,edge,8,3.0,4.5,True,0.08232415203704513,0.10645817549996317,-0.04826804692583608,22,0.36363636363636365,2.5726319460768505
0.25,0.6,0.7,0.2,edge,8,3.5,4.5,True,0.08232415203704513,0.10645817549996317,-0.04826804692583608,22,0.36363636363636365,2.5726319460768505
0.25,0.6,0.7,0.25,edge,8,3.5,4.5,True,0.07980566065434763,0.10365730384995997,-0.047703286391224675,22,0.36363636363636365,2.535042150537569
0.25,0.6,0.7,0.25,edge,8,3.0,4.5,True,0.07980566065434763,0.10365730384995997,-0.047703286391224675,22,0.36363636363636365,2.535042150537569
0.25,0.6,0.7,0.2,edge,8,3.0,4.0,True,0.07618174448702175,0.1003157679499398,-0.04826804692583608,28,0.32142857142857145,2.096336530484054
0.25,0.6,0.7,0.2,edge,8,3.5,4.0,True,0.07618174448702175,0.1003157679499398,-0.04826804692583608,28,0.32142857142857145,2.096336530484054
0.25,0.6,0.7,0.25,edge,8,3.5,4.0,True,0.07324903025432278,0.09710067344993512,-0.047703286391224675,28,0.32142857142857145,2.064798044482603
0.25,0.6,0.7,0.25,edge,8,3.0,4.0,True,0.07324903025432278,0.09710067344993512,-0.047703286391224675,28,0.32142857142857145,2.064798044482603
0.25,0.6,0.7,0.2,mid,8,3.0,4.5,True,0.04969349729774303,0.0764602591249397,-0.053533523654393345,46,0.2608695652173913,1.4123947384028281
0.25,0.6,0.7,0.2,mid,8,3.5,4.5,True,0.04969349729774303,0.0764602591249397,-0.053533523654393345,46,0.2608695652173913,1.4123947384028281
0.25,0.6,0.7,0.25,mid,8,3.5,4.5,True,0.046396518732220116,0.07304142547493098,-0.05328981348542172,46,0.2608695652173913,1.3950095868618033
0.25,0.6,0.7,0.25,mid,8,3.0,4.5,True,0.046396518732220116,0.07304142547493098,-0.05328981348542172,46,0.2608695652173913,1.3950095868618033
0.25,0.6,0.7,0.2,mid,8,3.0,4.0,True,0.043065534302527186,0.07818136022492461,-0.07023165184479485,51,0.2549019607843137,1.3848401581656358
0.25,0.6,0.7,0.2,mid,8,3.5,4.0,True,0.043065534302527186,0.07818136022492461,-0.07023165184479485,51,0.2549019607843137,1.3848401581656358
0.25,0.6,0.7,0.25,mid,8,3.5,4.0,True,0.03930150464705462,0.07426098689991423,-0.06991896450571922,51,0.2549019607843137,1.3666564651179993
0.25,0.6,0.7,0.25,mid,8,3.0,4.0,True,0.03930150464705462,0.07426098689991423,-0.06991896450571922,51,0.2549019607843137,1.3666564651179993
0.25,0.55,0.7,0.2,edge,8,3.0,4.0,True,0.007718084300993688,0.0442552842999282,-0.07307439999786902,47,0.23404255319148937,1.2566966972345497
0.25,0.55,0.7,0.2,edge,8,3.5,4.0,True,0.007718084300993688,0.0442552842999282,-0.07307439999786902,47,0.23404255319148937,1.2566966972345497
0.25,0.55,0.7,0.25,edge,8,3.5,4.0,True,0.004430683294708637,0.04067799204992073,-0.07249461751042419,47,0.23404255319148937,1.236558144537719
0.25,0.55,0.7,0.25,edge,8,3.0,4.0,True,0.004430683294708637,0.04067799204992073,-0.07249461751042419,47,0.23404255319148937,1.236558144537719
0.25,0.55,0.7,0.2,edge,8,3.0,4.5,True,-0.0044258602489830046,0.032111339749951506,-0.07307439999786902,40,0.225,1.2159146351159367
0.25,0.55,0.7,0.2,edge,8,3.5,4.5,True,-0.0044258602489830046,0.032111339749951506,-0.07307439999786902,40,0.225,1.2159146351159367
0.25,0.55,0.7,0.25,edge,8,3.5,4.5,True,-0.0068110793052668095,0.029436229449945284,-0.07249461751042419,40,0.225,1.1983030547097995
0.25,0.55,0.7,0.25,edge,8,3.0,4.5,True,-0.0068110793052668095,0.029436229449945284,-0.07249461751042419,40,0.225,1.1983030547097995
